1 5.52355 5.84231
11 5.58107 5.64805
21 6.76542 6.8852
31 10.5725 10.7205
41 15.8488 16.0586
51 21.344 21.606
61 187.556 203.31
71 240.192 253.58
81 243.69 259.85
91 250.844 261.77
101 253.258 265.132
111 261.969 288.337
121 278.407 317.887
131 296.707 327.587
141 322.492 375.408
151 362.759 404.843
161 359.431 413.325
171 411.925 433.165
181 426.425 448.381
191 429.588 454.972
201 432.435 448.575
211 442.151 457.865
221 432.907 461.285
231 461.875 479.541
241 465.738 484.37
251 475.089 491.385
261 489.497 502.939
271 483.974 512.636
281 496.65 523.646
291 494.215 524.805
301 512.018 525.974
 
